TELCO_ID,PREPAID_AMT_MTH_1,PREPAID_AMT_MTH_2,PREPAID_AMT_MTH_3,PREPAID_AMT_MTH_4,PREPAID_AMT_MTH_5,PREPAID_AMT_MTH_6,POSTPAID_AMT_MTH_1,POSTPAID_AMT_MTH_2,POSTPAID_AMT_MTH_3,POSTPAID_AMT_MTH_4,POSTPAID_AMT_MTH_5,POSTPAID_AMT_MTH_6,TOTAL_POSTPAID_AMT,TOTAL_PREPAID_AMT,AVG_POSTPAID_AMT,AVG_PREPAID_AMT
C-65144,225,300,187.5,237.5,187.5,243.75,0,0,0,0,0,0,0,1381.25,0,230.2083334
C-57670,12.5,0,6.25,0,0,0,0,0,0,0,0,0,0,18.75,0,3.125
C-53974,0,0,0,0,0,0,0,53.9375,0,212.4625,0,106,372.4,0,62.06666666,0
C-60403,100,0,0,12.5,12.5,0,0,0,0,0,0,0,0,125,0,20.83333334
C-53047,0,0,0,0,0,0,0,750,2375,0,0,0,3125,0,520.8333334,0
C-50499,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,4.166666666
C-47252,0,0,0,0,0,0,440.025,444.1875,450.1875,0,415.8125,403.3125,2153.525,0,358.9208334,0
C-56453,0,0,0,0,0,0,0,0,0,250,0,0,250,0,41.66666666,0
C-48790,12.5,31.25,81.25,87.5,81.25,75,0,0,0,0,0,0,0,368.75,0,61.45833334
C-56803,131.25,12.5,43.75,75,43.75,0,0,0,0,0,0,0,0,306.25,0,51.04166666
C-58680,0,0,0,0,50,6.25,0,0,0,0,0,0,0,56.25,0,9.375
C-40268,0,0,0,0,75,112.5,0,0,0,0,0,0,0,187.5,0,31.25
C-45450,0,0,0,0,0,0,476.4375,375,537.5,412.5,87.5,380.375,2269.3125,0,378.21875,0
C-54641,25,87.5,37.5,31.25,31.25,6.25,0,0,0,0,0,0,0,218.75,0,36.45833334
C-47058,0,0,0,6.25,12.5,12.5,140.5,225,0,62.5,69.4375,68.75,566.1875,31.25,94.36458334,5.208333334
C-59898,75,0,112.5,50,0,87.5,0,0,0,0,0,0,0,325,0,54.16666666
C-58727,62.5,0,62.5,100,75,12.5,0,0,0,0,0,0,0,312.5,0,52.08333334
C-62154,275,118.75,112.5,6.25,118.75,75,0,0,0,0,0,0,0,706.25,0,117.7083333
C-44650,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,12.5
C-60287,0,0,0,0,0,0,0,190,517.5,0,625,0,1332.5,0,222.0833334,0
C-55329,37.5,31.25,18.75,18.75,31.25,18.75,0,0,0,0,0,0,0,156.25,0,26.04166666
C-51196,75,275,75,50,0,87.5,0,0,0,0,0,0,0,562.5,0,93.75
C-41674,0,0,0,0,0,0,0,0,0,350,383.75,62.5,796.25,0,132.7083334,0
C-57442,0,43.75,0,0,0,43.75,0,0,0,0,0,0,0,87.5,0,14.58333334
C-62002,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,1.041666666
C-63763,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,25,0,4.166666666
C-57416,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,25,0,4.166666666
C-58674,225,100,12.5,37.5,175,250,0,0,0,0,0,0,0,800,0,133.3333334
C-55399,6.25,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,1.041666666
C-56915,0,0,0,0,0,0,125,0,0,0,0,0,125,0,20.83333334,0
C-52013,75,37.5,0,0,0,0,302.5,218.75,162.5,162.5,162.5,162.5,1171.25,112.5,195.2083334,18.75
C-42814,25,62.5,87.5,25,0,137.5,0,0,0,0,0,0,0,337.5,0,56.25
C-50940,162.5,75,112.5,62.5,50,37.5,0,0,0,0,0,0,0,500,0,83.33333334
C-52107,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,25,0,4.166666666
C-45926,0,0,0,0,0,0,137.5,0,75,75,206.25,350,843.75,0,140.625,0
C-59949,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,37.5,0,6.25
C-53208,37.5,0,0,0,0,0,106.25,106.25,106.25,106.25,106.25,0,531.25,37.5,88.54166666,6.25
C-49641,0,175,0,12.5,0,0,0,0,0,0,0,0,0,187.5,0,31.25
C-56855,62.5,250,125,175,125,187.5,0,0,0,0,0,0,0,925,0,154.1666666
C-59676,0,0,0,0,0,0,162.5,0,168.75,0,187.5,87.5,606.25,0,101.0416667,0
C-51941,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,1.041666666
C-43995,25,25,25,0,0,25,585.75,286.8125,309.1875,306.5,385.125,151.9375,2025.3125,100,337.5520834,16.66666666
C-55052,25,87.5,81.25,125,0,100,0,0,0,0,0,0,0,418.75,0,69.79166666
C-50848,0,0,0,0,0,0,0,0,0,0,0,593.75,593.75,0,98.95833334,0
C-44380,137.5,131.25,56.25,212.5,75,37.5,0,0,0,0,0,0,0,650,0,108.3333333
C-46152,175,118.75,81.25,231.25,93.75,125,0,0,0,0,0,0,0,825,0,137.5
C-60229,0,0,0,0,0,0,467.5,0,0,0,0,0,467.5,0,77.91666666,0
C-52920,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-48042,0,0,0,0,0,0,0,133.8125,119.5,106.8125,107.625,106.25,574,0,95.66666666,0
C-50375,0,0,0,0,0,0,0,0,0,0,0,537.5,537.5,0,89.58333334,0
C-60338,87.5,37.5,81.25,206.25,162.5,143.75,0,0,0,0,0,0,0,718.75,0,119.7916667
C-44378,0,0,0,0,0,0,501,512.5,0,0,0,0,1013.5,0,168.9166666,0
C-63170,50,100,37.5,112.5,37.5,112.5,0,0,0,0,0,0,0,450,0,75
C-64707,0,37.5,37.5,0,6.25,0,0,0,0,0,0,0,0,81.25,0,13.54166666
C-57030,0,0,62.5,37.5,0,0,0,0,0,0,0,0,0,100,0,16.66666666
C-56696,0,0,0,0,0,0,0,570.225,0,62.5,197.5,161,991.225,0,165.2041666,0
C-49713,25,0,0,0,37.5,0,0,0,0,0,0,12.5,12.5,62.5,2.083333334,10.41666667
C-51174,0,31.25,0,0,0,0,0,250,125,0,125,0,500,31.25,83.33333334,5.208333334
C-52335,25,12.5,12.5,12.5,6.25,18.75,272.5,262.5,275,126.25,137.5,137.5,1211.25,87.5,201.875,14.58333334
C-54198,0,37.5,25,12.5,0,0,0,0,0,0,0,0,0,75,0,12.5
C-55604,0,0,0,0,0,0,125,125,187.5,125,250,0,812.5,0,135.4166666,0
C-62706,0,0,0,0,0,0,0,0,137.5,0,0,0,137.5,0,22.91666666,0
C-59716,150,125,187.5,250,687.5,0,0,0,0,0,0,0,0,1400,0,233.3333334
C-56213,75,43.75,6.25,25,37.5,50,0,0,0,0,0,0,0,237.5,0,39.58333334
C-49818,6.25,37.5,37.5,37.5,50,68.75,0,68.75,0,0,0,0,68.75,237.5,11.45833333,39.58333334
C-42697,87.5,175,87.5,12.5,25,0,0,0,0,0,0,0,0,387.5,0,64.58333334
C-60350,0,0,0,0,0,0,0,0,0,0,193.4375,194.6875,388.125,0,64.6875,0
C-40498,0,0,0,0,0,0,0,377.5,125,212.5,0,0,715,0,119.1666667,0
C-54714,18.75,25,25,6.25,6.25,0,0,0,0,0,0,0,0,81.25,0,13.54166666
C-64757,50,175,131.25,87.5,106.25,87.5,0,0,0,0,0,0,0,637.5,0,106.25
C-63651,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,18.75,0,3.125
C-50888,112.5,87.5,112.5,75,106.25,81.25,0,0,0,0,0,0,0,575,0,95.83333334
C-60488,75,37.5,75,12.5,43.75,37.5,0,0,0,0,0,0,0,281.25,0,46.875
C-57979,0,0,0,0,0,0,0,0,286.1875,0,0,0,286.1875,0,47.69791666,0
C-60076,125,125,187.5,250,0,325,0,0,0,0,0,0,0,1012.5,0,168.75
C-42600,0,12.5,0,112.5,0,0,0,0,0,0,0,0,0,125,0,20.83333334
C-64149,0,0,0,0,0,0,0,550,75,287.5,275,187.5,1375,0,229.1666666,0
C-64683,75,75,112.5,162.5,87.5,62.5,0,0,0,0,0,0,0,575,0,95.83333334
C-51960,12.5,0,0,0,37.5,0,0,0,0,0,0,0,0,50,0,8.333333334
C-47882,275,150,125,200,75,125,0,0,0,0,0,0,0,950,0,158.3333334
C-64627,43.75,0,0,100,12.5,0,0,0,0,0,0,0,0,156.25,0,26.04166666
C-58166,150,50,0,25,37.5,0,0,0,0,0,0,0,0,262.5,0,43.75
C-62420,0,0,0,0,0,0,0,0,0,0,137.5,0,137.5,0,22.91666666,0
C-59449,0,0,0,0,0,0,0,0,0,0,103.9375,0,103.9375,0,17.32291666,0
C-55746,106.25,93.75,112.5,18.75,62.5,93.75,0,0,0,0,0,0,0,487.5,0,81.25
C-54741,37.5,0,0,0,0,0,0,775,0,340.375,762.5,231.25,2109.125,37.5,351.5208334,6.25
C-44033,287.5,25,300,62.5,175,175,0,0,0,0,0,0,0,1025,0,170.8333334
C-61843,56.25,25,43.75,12.5,0,0,0,0,0,0,0,0,0,137.5,0,22.91666666
C-48529,12.5,50,112.5,112.5,200,143.75,0,0,0,0,0,0,0,631.25,0,105.2083333
C-47702,125,0,100,125,0,125,0,0,0,0,0,0,0,475,0,79.16666666
C-51447,0,0,0,0,0,0,0,0,0,192.2,200,196.8125,589.0125,0,98.16875,0
C-42183,0,0,12.5,0,0,37.5,0,0,0,0,0,0,0,50,0,8.333333334
C-47362,0,0,0,37.5,0,0,0,250,0,437.5,125,150,962.5,37.5,160.4166666,6.25
C-44036,0,18.75,37.5,62.5,25,25,0,0,0,0,0,0,0,168.75,0,28.125
C-60761,25,0,12.5,0,18.75,0,0,0,0,0,0,0,0,56.25,0,9.375
C-41768,375,100,175,137.5,187.5,50,0,0,0,0,0,0,0,1025,0,170.8333334
C-61606,187.5,25,81.25,68.75,56.25,37.5,0,0,0,0,0,0,0,456.25,0,76.04166666
C-62846,87.5,75,125,12.5,0,12.5,0,0,0,0,0,0,0,312.5,0,52.08333334
C-58997,25,12.5,43.75,0,37.5,6.25,0,0,0,0,0,0,0,125,0,20.83333334
C-53154,175,137.5,100,137.5,137.5,87.5,0,0,0,0,0,0,0,775,0,129.1666666
C-52206,0,0,0,0,0,0,175,0,212.5,400,187.5,0,975,0,162.5,0
C-51563,200,0,0,0,125,0,0,0,0,0,0,0,0,325,0,54.16666666
C-50087,12.5,0,0,0,0,62.5,0,0,0,0,0,0,0,75,0,12.5
C-64143,50,0,6.25,6.25,12.5,6.25,0,0,187.5,0,0,0,187.5,81.25,31.25,13.54166666
C-54887,0,0,0,0,0,100,0,272.5,300,187.5,187.5,120.325,1067.825,100,177.9708334,16.66666666
C-63128,0,0,0,0,0,0,0,0,0,0,0,62.5,62.5,0,10.41666667,0
C-45362,137.5,87.5,75,75,100,100,0,132.7625,0,135.4875,0,122.7625,391.0125,575,65.16875,95.83333334
C-48606,75,25,0,62.5,62.5,12.5,0,0,0,0,0,0,0,237.5,0,39.58333334
C-44611,0,0,0,0,0,0,187.5,0,0,0,182.5,0,370,0,61.66666666,0
C-59316,0,75,0,0,0,0,212,212,0,107.625,110.5,106.25,748.375,75,124.7291667,12.5
C-55226,0,6.25,0,0,0,0,196.125,392.25,0,392.25,0,196.125,1176.75,6.25,196.125,1.041666666
C-56676,0,0,0,0,0,0,24.25,35.625,37.25,0,29.5,0,126.625,0,21.10416666,0
C-63837,62.5,18.75,56.25,100,81.25,81.25,0,0,0,0,0,0,0,400,0,66.66666666
C-55696,125,75,112.5,0,50,68.75,0,0,0,93.375,0,115,208.375,431.25,34.72916666,71.875
C-61964,75,225,12.5,56.25,37.5,0,0,0,0,12.5,12.5,0,25,406.25,4.166666666,67.70833334
C-58537,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,4.166666666
C-61985,0,125,0,50,68.75,87.5,0,0,0,0,0,0,0,331.25,0,55.20833334
C-45859,0,0,0,0,0,0,0,0,0,0,0,187.5,187.5,0,31.25,0
C-63148,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-41299,100,25,112.5,50,62.5,87.5,0,0,0,0,0,0,0,437.5,0,72.91666666
C-62126,0,0,0,12.5,0,0,215.7,0,0,171.8125,0,0,387.5125,12.5,64.58541666,2.083333334
C-59941,0,6.25,12.5,0,0,37.5,0,0,0,0,0,0,0,56.25,0,9.375
C-45573,0,100,37.5,0,50,37.5,0,0,0,0,0,0,0,225,0,37.5
C-59421,0,0,0,0,0,0,375,0,287.5,0,125,250,1037.5,0,172.9166666,0
C-63016,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-56561,62.5,12.5,6.25,0,12.5,0,0,0,0,0,0,0,0,93.75,0,15.625
C-49171,150,162.5,131.25,68.75,37.5,0,0,0,0,0,0,0,0,550,0,91.66666666
C-55474,31.25,25,37.5,12.5,12.5,18.75,0,0,0,0,0,0,0,137.5,0,22.91666666
C-55398,137.5,25,162.5,150,143.75,125,0,0,0,0,0,0,0,743.75,0,123.9583333
C-55252,62.5,18.75,12.5,168.75,31.25,43.75,0,0,0,0,0,0,0,337.5,0,56.25
C-55489,187.5,75,0,0,0,0,0,0,0,0,0,0,0,262.5,0,43.75
C-49307,0,0,0,0,0,0,0,500,250,0,0,0,750,0,125,0
C-50757,50,75,12.5,37.5,0,0,0,0,0,0,200.0125,0,200.0125,175,33.33541666,29.16666666
C-51089,0,0,0,0,0,0,0,87.5,0,0,0,0,87.5,0,14.58333334,0
C-54337,0,0,0,0,0,0,237.5,225,107.5,118.75,100,112.5,901.25,0,150.2083334,0
C-55216,0,0,0,0,0,0,0,0,0,0,187.5,125,312.5,0,52.08333334,0
C-46622,0,6.25,0,0,0,0,118.1875,0,114.625,114.1875,125.8125,116.0625,588.875,6.25,98.14583334,1.041666666
C-63613,287.5,112.5,268.75,131.25,62.5,112.5,0,0,0,0,0,0,0,975,0,162.5
C-63593,0,0,0,0,0,62.5,0,0,0,0,0,0,0,62.5,0,10.41666667
C-60812,0,0,0,0,0,0,132.5,66.25,25,0,0,141.25,365,0,60.83333334,0
C-61340,0,0,0,0,0,12.5,153.75,259.75,259.75,82.3125,76.875,103.625,936.0625,12.5,156.0104166,2.083333334
C-45493,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,12.5
C-58871,75,0,0,0,0,0,0,187.5,0,0,0,0,187.5,75,31.25,12.5
C-56980,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,1.041666666
C-56195,0,0,0,0,0,0,292.5,143.75,132.5,75,0,125,768.75,0,128.125,0
C-63745,25,12.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-51113,475,75,187.5,112.5,150,150,0,0,0,0,0,0,0,1150,0,191.6666666
C-60127,0,0,0,0,12.5,37.5,0,0,0,0,82.0625,0,82.0625,50,13.67708334,8.333333334
C-62099,0,0,0,0,0,0,193.75,190.125,190.4375,0,87.5,0,661.8125,0,110.3020833,0
C-53686,0,0,0,0,0,0,0,118.75,0,0,0,37.5,156.25,0,26.04166666,0
C-54978,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-56325,0,0,0,0,0,0,0,0,25,87.5,0,0,112.5,0,18.75,0
C-63070,0,12.5,137.5,87.5,6.25,68.75,0,0,0,0,0,0,0,312.5,0,52.08333334
C-50168,50,0,362.5,0,0,0,0,0,0,0,0,0,0,412.5,0,68.75
C-63382,0,37.5,18.75,37.5,50,0,0,0,0,0,0,0,0,143.75,0,23.95833334
C-52883,62.5,0,0,0,0,0,0,0,0,0,312.5,0,312.5,62.5,52.08333334,10.41666667
C-54373,0,0,0,0,0,0,0,412.5,125,0,287.5,0,825,0,137.5,0
C-48480,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,2.083333334
C-46479,175,37.5,43.75,25,143.75,87.5,575,0,256.25,125,0,100,1056.25,512.5,176.0416666,85.41666666
C-57014,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,12.5,0,2.083333334
C-61082,0,0,0,37.5,0,37.5,0,0,0,0,0,0,0,75,0,12.5
C-53950,0,0,6.25,0,12.5,0,0,0,0,0,0,0,0,18.75,0,3.125
C-57976,0,0,0,0,0,0,0,0,0,31.25,31.25,31.25,93.75,0,15.625,0
C-53919,25,12.5,12.5,25,0,12.5,125,125,0,0,0,0,250,87.5,41.66666666,14.58333334
C-63177,0,87.5,37.5,0,37.5,37.5,0,0,0,0,0,0,0,200,0,33.33333334
C-62014,0,0,6.25,93.75,37.5,6.25,0,0,0,0,0,0,0,143.75,0,23.95833334
C-46397,0,0,0,0,0,0,0,0,0,0,0,125,125,0,20.83333334,0
C-49118,0,0,0,37.5,37.5,37.5,337.5,437.5,0,457.25,273.75,114.875,1620.875,112.5,270.1458334,18.75
C-43404,150,537.5,212.5,512.5,462.5,75,0,0,0,0,0,0,0,1950,0,325
C-48164,62.5,225,62.5,0,175,37.5,0,0,0,0,0,0,0,562.5,0,93.75
C-51561,0,0,0,0,0,0,812.5,375,625,312.5,562.5,0,2687.5,0,447.9166666,0
C-52857,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,8.333333334
C-56559,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4.166666666
C-55520,0,0,0,0,0,0,280.05,265.525,152.375,139.125,156.3,158.025,1151.4,0,191.9,0
C-55682,12.5,0,37.5,37.5,12.5,0,0,107.6375,106,242.425,112.0625,0,568.125,100,94.6875,16.66666666
C-44836,0,75,112.5,75,37.5,62.5,0,0,0,0,0,0,0,362.5,0,60.41666666
C-56682,12.5,0,0,0,0,37.5,0,0,0,0,0,0,0,50,0,8.333333334
C-48724,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,12.5,0,2.083333334
C-54399,0,0,0,0,0,0,125,100,125,87.5,100,125,662.5,0,110.4166667,0
C-42498,18.75,31.25,118.75,62.5,143.75,125,0,0,0,0,0,0,0,500,0,83.33333334
C-50987,0,0,0,0,0,0,229.25,0,186.1875,178.875,179.0625,317.125,1090.5,0,181.75,0
C-51553,0,0,0,0,0,0,106.75,0,0,313.0625,213.3125,424.625,1057.75,0,176.2916666,0
C-45157,0,0,87.5,0,43.75,50,95,100,0,0,87.5,0,282.5,181.25,47.08333334,30.20833334
C-45089,50,75,37.5,75,37.5,50,0,0,0,0,0,0,0,325,0,54.16666666
C-64002,0,12.5,37.5,37.5,0,0,0,0,0,0,0,0,0,87.5,0,14.58333334
C-61233,6.25,0,6.25,31.25,81.25,6.25,27.5,0,0,0,0,0,27.5,131.25,4.583333334,21.875
C-50781,0,0,12.5,0,18.75,0,0,0,0,0,0,0,0,31.25,0,5.208333334
C-58302,0,0,0,0,0,0,0,187.5,62.5,62.5,47.5,47.5,407.5,0,67.91666666,0
C-48467,0,0,0,0,6.25,12.5,412.5,206.25,0,412.5,31.25,62.5,1125,18.75,187.5,3.125
C-57271,0,0,0,0,0,0,90.4375,90.375,90.5,90.625,90.625,90.625,543.1875,0,90.53125,0
C-44382,18.75,18.75,31.25,62.5,37.5,18.75,0,58.6875,0,0,0,0,58.6875,187.5,9.78125,31.25
C-62242,0,0,0,0,37.5,37.5,0,375,0,0,0,0,375,75,62.5,12.5
C-61468,0,0,0,0,0,0,106.5,106,106,111.5625,106.25,106.5,642.8125,0,107.1354167,0
C-60565,0,0,18.75,0,0,0,0,0,0,0,0,0,0,18.75,0,3.125
C-59563,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4.166666666
C-59300,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,25,0,4.166666666
C-62377,50,112.5,50,87.5,37.5,75,0,0,0,0,0,0,0,412.5,0,68.75
C-64235,0,0,0,0,0,125,0,0,0,0,0,0,0,125,0,20.83333334
C-64368,262.5,131.25,193.75,100,0,0,0,0,0,0,0,0,0,687.5,0,114.5833333
C-60963,37.5,68.75,250,156.25,112.5,137.5,0,0,0,0,0,0,0,762.5,0,127.0833334
C-62856,0,0,0,0,0,0,602.875,547.875,0,217.25,219.8125,522,2109.8125,0,351.6354166,0
C-53768,125,62.5,25,0,162.5,0,0,0,0,0,0,0,0,375,0,62.5
C-58056,62.5,12.5,25,87.5,37.5,12.5,0,0,0,0,0,0,0,237.5,0,39.58333334
C-54833,100,50,0,112.5,150,112.5,0,0,0,0,0,0,0,525,0,87.5
C-45416,0,37.5,0,0,0,150,0,0,0,0,0,0,0,187.5,0,31.25
C-62601,0,0,0,0,0,0,0,0,521.75,0,0,0,521.75,0,86.95833334,0
C-46657,50,25,37.5,50,31.25,50,0,0,0,0,0,0,0,243.75,0,40.625
C-59536,37.5,50,37.5,0,37.5,0,0,0,0,0,0,0,0,162.5,0,27.08333334
C-52908,100,131.25,75,131.25,93.75,87.5,0,0,0,0,0,0,0,618.75,0,103.125
C-64754,0,0,0,37.5,12.5,0,0,0,0,0,0,0,0,50,0,8.333333334
C-57437,0,12.5,0,0,0,37.5,0,0,0,0,0,0,0,50,0,8.333333334
C-51954,0,0,0,0,0,0,250,250,0,87.5,0,0,587.5,0,97.91666666,0
C-53780,0,0,0,0,0,0,762.5,0,375,0,607.0625,0,1744.5625,0,290.7604166,0
C-47127,100,37.5,162.5,75,37.5,112.5,0,0,0,0,0,0,0,525,0,87.5
C-58559,0,0,0,0,0,0,0,475.625,0,0,0,0,475.625,0,79.27083334,0
C-53706,0,0,0,0,0,62.5,0,0,187.5,0,0,0,187.5,62.5,31.25,10.41666667
C-57673,125,50,0,0,6.25,137.5,0,0,0,0,0,0,0,318.75,0,53.125
C-53992,362.5,343.75,0,462.5,25,112.5,0,150,187.5,210,0,0,547.5,1306.25,91.25,217.7083334
C-52351,525,262.5,200,325,62.5,75,0,0,0,0,0,0,0,1450,0,241.6666666
C-58836,0,0,125,0,0,6.25,0,0,125,118.75,172,150.4375,566.1875,131.25,94.36458334,21.875
C-57395,0,0,0,0,0,0,0,0,0,0,312.5,0,312.5,0,52.08333334,0
C-51660,162.5,162.5,100,37.5,112.5,100,0,0,0,0,0,0,0,675,0,112.5
C-64739,425,200,62.5,150,143.75,106.25,0,0,0,0,0,0,0,1087.5,0,181.25
C-44197,200,0,325,137.5,187.5,0,0,0,0,0,0,0,0,850,0,141.6666666
C-51116,50,25,18.75,0,12.5,12.5,0,0,0,0,0,0,0,118.75,0,19.79166666
C-57050,250,212.5,175,100,350,237.5,0,0,0,0,0,0,0,1325,0,220.8333334
C-44480,87.5,37.5,112.5,75,75,200,95,270,218.75,187.5,221.25,237.5,1230,587.5,205,97.91666666
C-57323,0,0,0,0,0,0,250,0,250,0,0,197.5,697.5,0,116.25,0
C-50187,75,18.75,50,25,106.25,25,0,0,0,0,0,0,0,300,0,50
C-61088,0,0,0,0,0,0,434.625,0,0,0,0,0,434.625,0,72.4375,0
C-47208,0,87.5,137.5,100,37.5,62.5,0,0,0,0,0,0,0,425,0,70.83333334
C-56167,0,0,0,0,0,37.5,107.5625,110.375,218.25,0,109.6875,107.3125,653.1875,37.5,108.8645833,6.25
C-46426,12.5,0,37.5,0,37.5,37.5,0,0,0,0,0,0,0,125,0,20.83333334
C-59329,12.5,0,0,0,62.5,25,0,0,0,0,0,0,0,100,0,16.66666666
C-41833,0,0,0,0,0,0,160,0,0,0,0,0,160,0,26.66666666,0
C-54226,6.25,0,12.5,87.5,175,87.5,327.5625,325,195,201.625,339.1875,339.3125,1727.6875,368.75,287.9479166,61.45833334
C-46540,43.75,62.5,62.5,31.25,100,112.5,107.5,253.75,0,321.65,40.25,125,848.15,412.5,141.3583334,68.75
C-53312,225,500,75,37.5,75,456.25,0,0,0,0,0,0,0,1368.75,0,228.125
C-54473,75,250,125,125,125,125,0,0,0,0,0,0,0,825,0,137.5
C-50146,0,0,0,0,0,0,0,68.75,62.5,0,0,0,131.25,0,21.875,0
C-49659,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,2.083333334
C-45226,0,0,0,0,0,0,3488.5625,351.4375,0,349.8125,377.425,368.5625,4935.8,0,822.6333334,0
C-48069,287.5,268.75,275,218.75,375,200,0,0,0,0,0,0,0,1625,0,270.8333334
C-48604,0,0,0,0,0,0,1770.5,1002.125,362.5,0,922.9375,0,4058.0625,0,676.34375,0
C-44374,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,2.083333334
C-48908,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8.333333334
C-48692,0,0,0,0,0,0,125,0,248.75,137.5,200,200,911.25,0,151.875,0
C-55852,0,0,37.5,0,0,0,0,0,202.5,0,0,0,202.5,37.5,33.75,6.25
C-49918,200,200,150,87.5,162.5,187.5,0,0,0,0,0,0,0,987.5,0,164.5833334
C-53346,0,0,0,0,0,0,490.6875,840,562.5,0,1576.125,0,3469.3125,0,578.21875,0
C-58100,0,0,0,0,0,0,0,143.75,187.5,187.5,1018.75,0,1537.5,0,256.25,0
C-53360,37.5,37.5,50,50,12.5,50,0,0,0,0,0,0,0,237.5,0,39.58333334
C-54170,0,12.5,0,87.5,0,0,350,162.5,187.5,375,187.5,0,1262.5,100,210.4166666,16.66666666
C-60991,0,0,0,0,0,0,125,0,125,125,250,0,625,0,104.1666667,0
C-53259,0,0,0,0,0,6.25,12.5,0,0,0,0,0,12.5,6.25,2.083333334,1.041666666
C-46714,0,0,37.5,0,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-62539,431.25,318.75,250,350,106.25,112.5,0,0,0,0,0,0,0,1568.75,0,261.4583334
C-57623,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,8.333333334
C-58477,0,56.25,68.75,150,81.25,75,0,0,0,0,0,0,0,431.25,0,71.875
C-51766,218.75,250,212.5,137.5,150,106.25,0,0,0,90.125,90.125,0,180.25,1075,30.04166666,179.1666666
C-41932,106.25,237.5,468.75,275,262.5,225,0,0,0,0,0,0,0,1575,0,262.5
C-47700,0,0,0,0,0,0,162.625,99.25,52.5,50,52.5,51.25,468.125,0,78.02083334,0
C-51554,25,25,12.5,37.5,81.25,31.25,0,0,0,0,0,0,0,212.5,0,35.41666666
C-50765,0,0,0,0,0,0,192.4375,94.9,93.225,0,91.8125,0,472.375,0,78.72916666,0
C-57920,250,275,250,131.25,168.75,37.5,0,0,0,0,0,0,0,1112.5,0,185.4166666
C-58051,0,0,0,0,0,0,418.8,418.7,304.875,209.375,210.5625,211.4375,1773.75,0,295.625,0
C-64010,0,0,0,0,0,0,356.25,375,350,362.5,725,0,2168.75,0,361.4583334,0
C-60751,200,137.5,125,243.75,118.75,93.75,0,0,0,0,0,0,0,918.75,0,153.125
C-57978,50,12.5,75,25,6.25,0,239.3625,125.625,0,0,217.5,108.75,691.2375,168.75,115.20625,28.125
C-58626,0,0,37.5,0,0,0,0,0,0,0,0,0,0,37.5,0,6.25
C-45430,0,0,0,12.5,62.5,31.25,25,0,0,0,0,0,25,106.25,4.166666666,17.70833334
C-42247,12.5,50,0,12.5,0,0,0,0,0,0,0,250,250,75,41.66666666,12.5
C-54185,287.5,481.25,75,212.5,168.75,262.5,0,0,0,0,0,0,0,1487.5,0,247.9166666
C-54272,0,0,0,37.5,12.5,0,0,0,0,0,0,0,0,50,0,8.333333334
C-56679,0,75,18.75,6.25,50,25,0,0,0,0,0,0,0,175,0,29.16666666
C-61148,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,1.041666666
C-56708,100,131.25,125,187.5,37.5,62.5,0,0,0,0,0,0,0,643.75,0,107.2916667
C-50787,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,2.083333334,0
C-63060,0,12.5,0,0,0,0,0,262.5,0,0,100,0,362.5,12.5,60.41666666,2.083333334
C-51284,0,0,0,0,0,0,641.25,0,158.75,0,130,236.875,1166.875,0,194.4791666,0
C-57596,25,0,0,0,0,12.5,1375,1829.6125,1337.5,1541.1875,1200,1093.75,8377.05,37.5,1396.175,6.25
